STT Tổng hợp,STT,Tên cơ sở,Địa chỉ,Ngành nghề/ Loại hình kinh doanh,Tiêu thụ năng lượng (TOE) / Công suất,Tỉnh / Thành phố,Vùng,Ngành / Lĩnh vực,Phụ lục
66,66,Công ty cổ phần Cán thép Thái Trung,"Tổ 21 phường Cam Giá, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất kim loại,19.286,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
67,67,Công ty TNHH NatsteelVina,"Phường Cam Giá, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất kim loại,7.980,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
68,68,Công ty cổ phần hợp kim sắt - gang thép Thái Nguyên,"Tổ 31 phường Cam giá, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất kim loại,30.394,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
69,69,Chi nhánh Công ty cổ phần Hyundai Aluminum Vina Thái Nguyên,"Lô CN6 khu công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình, tỉnh Thái Nguyên",Sản xuất kim loại,12.811,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
70,70,Công ty TNHH Xây dựng & Phát triển nông thôn miền núi,"598 đường Thống Nhất, phường Tân Thịnh, thành phố Thái Nguyên, tỉnh Thái Nguyên",Khai thác quặng sắt,7.989,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
71,71,Công ty TNHH Samsung Electronics Việt Nam Thái Nguyên,"Khu công nghiệp Yên Bình, phường Đồng Tiến, thị xã Phổ Yên, tỉnh Thái Nguyên",Sản xuất linh kiện điện tử,189.068,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
72,72,Công ty cổ phần Đầu tư và Thương mại Hiệp Linh,"Tổ 11, phường Phú Xá, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất công nghiệp,12.102,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
73,73,Công ty TNHH Hiệp Hương,"Khu A, khu công nghiệp Sông Công 1, phường Mỏ Chè, thành phố Sông Công, tỉnh Thái Nguyên",Sản xuất công nghiệp,9.176,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
74,74,Công ty TNHH Hương Đông,"Khu B, khu công nghiệp Sông Công, phường Bách Quang, thành phố Sông Công, tỉnh Thái Nguyên",Sản xuất công nghiệp,4.160,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
75,75,Công ty TNHH Glonics Việt Nam,"Số 903, đường 3-2, phường Phú Xá, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất linh kiện điện tử,4.013,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
76,76,Công ty cổ phần Đầu tư xây dựng và khai thác khoáng sản Thăng Long,"Số 217, đường Bắc Nam, phường Gia Sàng, thành phố Thái Nguyên, tỉnh Thái Nguyên",Khai thác quặng kim loại,2.094,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
77,77,Công ty cổ phần Luyện kim đen Thái Nguyên,"Xã Nam Hòa, huyện Đồng Hỷ, tỉnh Thái Nguyên",Khai thác quặng kim loại,128.367,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
78,78,Công ty cổ phần Cơ khí Gang thép,"Phường Cam Giá, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất gang thép,11.377,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
79,79,Chi nhánh Công ty TNHH khai khoáng Đông Bắc,"Khu B khu Công nghiệp Sông Công, phường Bách Quang, thành phố Sông Công, tỉnh Thái Nguyên",Sản xuất kim loại,12.830,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
80,80,Công ty TNHH Jukwang precision Việt Nam,"Lô CN8-1 khu công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình, tỉnh Thái Nguyên","Sản xuất phụ tùng và các bộ phận phụ trợ của mô tô, xe máy",1.874,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
81,81,Công ty cổ phần đầu tư thương mại Thép Đại Việt,"Cụm công nghiệp số 3, cảng Đa Phúc, xã Thuận Thành, thị xã Phổ Yên, tỉnh Thái Nguyên",Sản xuất thép,10.926,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
82,82,Công ty TNHH RFTech Thái Nguyên,"Khu công nghiệp Điềm Thụy, huyện Phú Bình, tỉnh Thái Nguyên",Sản xuất linh kiện điện tử,2.294,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
83,83,Công ty Ván ép Việt Bắc,"Phường Phú Xá, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất ván ép,1.375,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
84,84,Công ty than Núi Hồng,"Xã Yên Lãng, huyện Đại Từ, tỉnh Thái Nguyên",Sản xuất chế biến than,1.537,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
85,85,Công ty cổ phần ALK Vina,"Lô CN6-1,3, khu công nghiệp Điềm Thụy, xã Hồng Tiến, thị xã Phổ Yên, tỉnh Thái Nguyên",Sản xuất kim loại màu và kim loại quý,7.230,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
86,86,Công ty TNHH KHVatec Hanoi,"Lô CN3, CN3-1, khu công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình, tỉnh Thái Nguyên",Sản xuất linh kiện điện tử,3.856,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
87,87,Công ty TNHH Dongsung Vina,"Lô CN 3-3(2), khu công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình, tỉnh Thái Nguyên",Sản xuất công nghiệp,15.814,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
88,88,Công ty TNHH Korea Electric Terminal Vietnam,"Lô CN5, khu công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình, tỉnh Thái Nguyên",Sản xuất linh kiện điện tử,2.873,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
89,89,Công ty TNHH Samju Vina,"Lô CN3-3, khu công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình, tỉnh Thái Nguyên",Sản xuất công nghiệp,2.344,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
90,90,Công ty TNHH Shinsung C&T Vina,"Lô CN1-1, khu công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình, tỉnh Thái Nguyên",Sản xuất sản phẩm từ nhựa,2.368,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
91,91,Công ty TNHH Uti Vina,"Lô CN4, khu công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình, tỉnh Thái Nguyên",Sản xuất linh kiện điện tử,2.160,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
92,92,Công ty TNHH Thép Tùng Chi,"Khu B, khu công nghiệp Sông Công I, phường Bách Quang, thành phố Sông Công, tỉnh Thái Nguyên",Sản xuất thép,6.779,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
93,93,Công ty cổ phần Nhật Anh,"Khu B, khu công nghiệp Sông Công I, phường Bách Quang, thành phố Sông Công, tỉnh Thái Nguyên",Sản xuất công nghiệp,3.443,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
94,94,Công ty TNHH Nhựa Châu Âu Xanh,"Quốc lộ 3, xã thuận thành, thị xã Phổ Yên, tỉnh Thái Nguyên",Sản xuất nhựa,1.790,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
95,95,Công ty cổ phần Elovi Việt Nam,"Khu công nghiệp Nam Phổ Yên, thị xã Phổ Yên, tỉnh Thái Nguyên",Sản xuất sản phẩm từ sữa,2.041,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
96,96,Công ty TNHH Young Diecasting Vina,"Khu công nghiệp Điềm Thụy, xã Điềm Thụy, huyện Phú Bình, tỉnh Thái Nguyên",Sản xuất kim loại,1.157,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
97,97,Công ty TNHH Sunny Opotech Việt Nam,"Khu công nghiệp Yên Bình, phường Đồng Tiến, thành phố Phổ Yên, tỉnh Thái Nguyên",Sản xuất linh kiện điện tử,2.250,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
98,98,Công ty TNHH Phát triển năng lượng Trina Solar,"Lô CN-14, khu công nghiệp Yên Bình, phường Hồng Tiến, thành phố Phổ Yên, tỉnh Thái Nguyên",Sản xuất tấm pin và tấm năng lượng mặt trời,30.220,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
99,99,Nhà máy Công ty cổ phần Giấy Trường Xuân,"Phường Bãi Bông, thành phố Phổ Yên, tỉnh Thái Nguyên",Sản xuất giấy,1.336,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
100,100,"Công ty TNHH khí công nghiệp Messer Hải Phòng, chi nhánh Yên Bình, Thái Nguyên","Lô CN2, khu công nghiệp Yên Bình giai đoạn 2, phường Đồng Tiến, thành phố Phổ Yên, tỉnh Thái Nguyên",Sản xuất công nghiệp,7.634,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
101,101,Công ty TNHH Đúc Nam Ninh,"Tổ 10 phường Mỏ Chè, thành phố Sông Công, tỉnh Thái Nguyên",Đúc kim loại,1.066,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
102,102,Công ty TNHH Bjsteel Việt Nam,"Khu A, khu công nghiệp Sông Công 1, phường Mỏ Chè, thành phố Sông Công, tỉnh Thái Nguyên",Sản xuất thép,1.017,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
103,103,Công ty cổ phần cơ điện luyện kim Thái Nguyên,"Tổ 13, phường Cam Giá, thành phố Thái Nguyên, tỉnh Thái Nguyên",Sản xuất kim loại,2.265,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
104,104,Công ty cổ phần Kim Quy Thái Nguyên,"Xóm La Đành, xã Hóa Trung, huyện Đồng Hỷ, tỉnh Thái Nguyên",Sản xuất kim loại,1.025,Tỉnh Thái Nguyên,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
105,105,Công ty nhiệt điện Na Dương,"Thị trấn Na Dương, huyện Lộc Bình, tỉnh Lạng Sơn",Sản xuất điện,135.320,Tỉnh Lạng Sơn,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
106,106,"Công ty cổ phần đá mài Hải Dương, Chi nhánh hạt mài Tân Mỹ","Xã Tân Mỹ, huyện Văn Lãng, tỉnh Lạng Sơn",Khai thác và chế biến quặng bauxit,5.391,Tỉnh Lạng Sơn,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
107,107,Công ty than Na Dương - VVMI,"Thị trấn Na Dương, huyện Lộc Bình, tỉnh Lạng Sơn",Khai thác than,8.371,Tỉnh Lạng Sơn,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
108,108,Công ty TNHH MTV Phân đạm và Hóa chất Hà Bắc,"Phường Thọ Xương, thành phố Bắc Giang, tỉnh Bắc Giang",Sản xuất phân bón và hợp chất ni tơ,482.988,Tỉnh Bắc Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
109,109,"Nhà máy giấy Xương Giang, Công ty cổ phần xuất nhập khẩu Bắc Giang","Khu công nghiệp Song Khê - Nội Hoàng, thành phố Bắc Giang, tỉnh Bắc Giang",Sản xuất giấy,18.767,Tỉnh Bắc Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
110,110,Công ty nhiệt điện Sơn Động Việt Nam,"Thị trấn Tây Yên Tử, huyện Sơn Động, tỉnh Bắc Giang",Sản xuất điện,553.340,Tỉnh Bắc Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
111,111,Công ty TNHH JA Solar Việt Nam,"Khu công nghiệp Quang Châu, thị xã Việt Yên, tỉnh Bắc Giang",Sản xuất pin năng lượng mặt trời,27.141,Tỉnh Bắc Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
112,112,Công ty TNHH Luxshare - ICT Việt Nam,"Khu công nghiệp Quang Châu, thị xã Việt Yên, tỉnh Bắc Giang","Sản xuất thiết bị điện, điện tử",10.150,Tỉnh Bắc Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
113,113,Công ty TNHH Luxshare - ICT Vân Trung,"Khu công nghiệp Vân Trung, thị xã Việt Yên, tỉnh Bắc Giang","Sản xuất thiết bị điện, điện tử",6.172,Tỉnh Bắc Giang,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
114,114,Công ty Nhiệt điện Uông Bí,"Khu 6, phường Quang Trung, Uông Bí, tỉnh Quảng Ninh",Sản xuất điện năng,870.210,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
115,115,Công ty cổ phần than Mông Dương - Vinacomin,"Phường Mông Dương, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than,7.456,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
116,116,Công ty cổ phần than Hà Lầm - Vina,"Số 1 phố Tân Lập, phường Hà Lầm, thành phố Hạ Long, tỉnh Quảng Ninh","Khai thác, chế biến than",10.194,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
117,117,Công ty TNHH Sản xuất Bột mỳ Vimaflour,"Khu công nghiệp Cái Lân, phường Bãi Cháy, thành phố Hạ Long, tỉnh Quảng Ninh",Sản xuất bột mỳ,5.029,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
118,118,Công ty TNHH Xay lúa mỳ VFM - Wilmar,"Khu công nghiệp Cái Lân, phường Bãi Cháy, thành phố Hạ Long, tỉnh Quảng Ninh",Sản xuất bột mỳ,2.073,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
119,119,Công ty cổ phần than Vàng Danh - Vinacomin,"969 đường Bạch Đằng, phường Quang Trung, thành phố Uông Bí, tỉnh Quảng Ninh",Sản xuất và chế biến than,16.662,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
120,120,Công ty cổ phần than Cọc Sáu - Vinacomin,"Phường Cẩm Phú, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác chế biến và tiêu thụ than,31.857,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
121,121,Công ty cổ phần than Cao Sơn - TKV,"Tổ 1, khu Cao Sơn 2, phường Cẩm Sơn, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,91.249,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
122,122,Công ty cổ phần than Hà Tu - Vinacomin,"Tổ 6, khu 3, phường Hà Tu, thành phố Hạ Long, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,18.460,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
123,123,Công ty than Uông Bí - TKV,"Tổ 17, khu 3, phường Trưng Vương, thành phố Uông Bí, tỉnh Quảng Ninh",Khai thác chế biến than,14.000,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
124,124,"Công ty 790, Chi nhánh Tổng Công ty Đông Bắc","Tổ 1, khu 1, phường Cửa Ông, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,1.216,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
125,125,Công ty cổ phần Nhiệt điện Quảng Ninh,"Tổ 33, khu 5, phường Hà Khánh, thành phố Hạ Long, tỉnh Quảng Ninh",Sản xuất điện năng,115.594,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
126,126,"Công ty 91, Chi nhánh Tổng Công ty Đông Bắc","Tổ 4, khu Vĩnh Hòa, phường Mạo Khê, thị xã Đông Triều, tỉnh Quảng Ninh",Khai thác than,2.754,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
127,127,"Công ty Khe Sim, Chi nhánh Tổng Công ty Đông Bắc","Số 1, khu 7B, phường Quang Hanh, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác than,18.067,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
128,128,"Công ty Khai thác khoáng sản, Chi nhánh Tổng Công ty Đông Bắc","Tổ 1, khu Thủy Sơn, phường Cẩm Sơn, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác than,40.434,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
129,129,"Công ty cổ phần 397, Chi nhánh Tổng Công ty Đông Bắc","Khu Yên Lãng 1, phường Yên Thọ, thị xã Đông Triều, tỉnh Quảng Ninh",Khai thác thu gom than cứng,7.734,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
130,130,Công ty Nhiệt điện Cẩm Phả - TKV,"Phường Cẩm Thịnh, thành phố Cẩm Phả, tỉnh Quảng Ninh",Sản xuất điện,1.187.397,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
131,131,Công ty Chế biến than Quảng Ninh - TKV,"Khu đô thị mới, phường Cao Xanh, thành phố Hạ Long, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,1.969,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
132,132,"Công ty TNHH Điện Lực AES Mông Dương, Nhà máy nhiệt điện Mông Dương II","Khu 8, phường Mông Dương, thành phố Cẩm Phả, tỉnh Quảng Ninh",Sản xuất điện,1.706.655,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
133,133,Công ty cổ phần Địa chất mỏ - TKV,"304 đường Trần Phú, phường Cẩm Thành, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khoan thăm dò địa chất,1.239,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
134,134,Công ty than Mạo Khê - TKV,"Khu Dân Chủ, phường Mạo Khê, thị xã Đông Triều, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,9.992,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
135,135,Công ty cổ phần than Đèo Nai - Vinacomin,"Phường Cẩm Tây, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,34.196,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
136,136,Công ty cổ phần Cơ khí và Lắp máy Việt Nam,"Khu phố Nội Hoàng Tây, phường Hoàng Quế, thị xã Đông Triều, tỉnh Quảng Ninh",Sản xuất các sản phẩm cơ khí,1.263,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
137,137,Công ty than Nam Mẫu - TKV,"Số 1a, đường Trần Phú, phường Quang Trung, thành phố Uông bí, tỉnh Quảng Ninh","Khai thác, chế biến than",9.287,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
138,138,Công ty than Khe Chàm - TKV,"Khu 6, phường Mông Dương, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,8.392,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
139,139,Công ty cổ phần bia và nước giải khát Đông Mai,"Xóm Đồi, phường Đông Mai, thị xã Quảng Yên, tỉnh Quảng Ninh",Sản xuất bia,3.098,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
140,140,Công ty TNHH Calofic,"Khu vực cảng Cái Lân, phường Bãi Cháy, thành phố Hạ Long, tỉnh Quảng Ninh","Sản xuất dầu, mỡ động, thực vật",7.732,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
141,141,Công ty TNHH Antimon Dương Huy Quảng Ninh Việt Nam,"Thôn 1 xã Hạ Long, huyện Vân Đồn, tỉnh Quảng Ninh",Khai thác quặng kim loại quý hiếm,4.921,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
142,142,"Công ty Nhiệt điện Đông Triều - TKV, Nhà máy nhiệt điện Mạo Khê","Thôn Đông Sơn, xã Bình Khê, thị xã Đông Triều, tỉnh Quảng Ninh",Sản xuất điện,876.410,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
143,143,Chi nhánh Công ty TNHH Sao Vàng,"Phường Yên Thanh, thành phố Uông Bí, tỉnh Quảng Ninh",Sản xuất giấy dép,1.249,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
144,144,Công ty TNHH Cotto Quảng Ninh,"Cụm công nghiệp Kim Sơn, phường Kim Sơn, thị xã Đông Triều, tỉnh Quảng Ninh",Sản xuất các sản phẩm phi kim loại,1.303,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
145,145,Công ty Chế tạo máy - Vinacomin,"486 đường Trần Phú, phường Cẩm Thủy, thành phố Cẩm Phả, tỉnh Quảng Ninh",Sản xuất máy khai thác mỏ và xây dựng,8.033,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
146,146,Công ty than Dương Huy - TKV,"Phường Cẩm Thạch, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,11.043,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
147,147,Công ty than Hạ Long - TKV,"Tổ 65 khu Diêm Thuỷ, phường Cẩm Đông, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,8.806,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
148,148,Công ty than Hòn Gai - TKV,"169 Lê Thánh Tông, thành phố Hạ Long, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,6.820,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
149,149,Công ty cổ phần than Núi Béo - Vinacomin,"799 Lê Thánh Tông, thành phố Hạ Long, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,11.737,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
150,150,Công ty than Quang Hanh,"302 Trần Phú, phường Cẩm Thành, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,9.757,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
151,151,Công ty than Thống Nhất - TKV,"Phường Cẩm Tây, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,7.235,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
152,152,Công ty Tuyển than Cửa Ông - TKV,"Tổ 48, khu 4B2, phường Cửa Ông, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,11.118,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
153,153,Công ty TNHH Sợi hóa học Thế kỷ mới Việt Nam,"Khu công nghiệp Cái Lân, phường Giếng Đáy, thành phố Hạ Long, tỉnh Quảng Ninh",Sản xuất sợi,3.260,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
154,154,Công ty TNHH Vina New Tarps,"Khu công nghiệp Cái Lân, phường Giếng Đáy, thành phố Hạ Long, tỉnh Quảng Ninh",Sản xuất sản phẩm khác từ nhựa,1.233,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
155,155,Công ty TNHH Integral Materials Invesment Vietnam,"Khu công nghiệp Việt Hưng, phường Việt Hưng, thành phố Hạ Long, tỉnh Quảng Ninh",Sản xuất hóa chất cơ bản,3.641,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
156,156,Công ty TNHH Khoa học Kỹ thuật Texhong Ngân Long,"Khu công nghiệp Hải Yên, phường Hải Yên, thành phố Móng Cái, tỉnh Quảng Ninh",Sản xuất sợi,38.531,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
157,157,Công ty cổ phần Công nghiệp Tân Tiến,"Phường Quang Hanh, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,8.504,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
158,158,Công ty cổ phần Thương mại Tuấn Tiến,"Tổ 5, khu Vĩnh Thông, phường Mạo Khê, thị xã Đông Triều, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,12.401,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
159,159,"Công ty 35, Chi nhánh Tổng Công ty Đông Bắc","Phường Cẩm Thạch, thành phố Cẩm Phả, tỉnh Quảng Ninh",Khai thác và thu gom than cứng,2.410,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
160,160,"Nhà máy nhiệt điện Mông Dương I, Công ty Nhiệt điện Mông Dương","Phường Mông Dương, thành phố Cẩm Phả, tỉnh Quảng Ninh",Sản xuất điện,1.701.690,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
161,161,Công ty TNHH MTV Ngân Tuyết,"Tổ 1, khu Vĩnh Quang, phường Mạo Khê, thị xã Đông Triều, tỉnh Quảng Ninh","Buôn bán nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan",2.618,Tỉnh Quảng Ninh,ĐÔNG BẮC BỘ,Ngành Công Thương,Phụ lục II
